"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"fpop",fpop,exp,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,2,9062066,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,2,592450,1,5
"fpop",fpop,exp,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,2,13975629,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,2,1399740,1,7
"fpop",fpop,exp,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,2,9741313,1,NA
"dust",dust,exp,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,2,1577762,1,8
"fpop",fpop,exp,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,2,5804944,1,NA
"dust",dust,exp,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,2,582036,1,5
"fpop",fpop,exp,,500,0,12.4292161968444,1e-09,10,0.01,2,5309869,1,NA
"dust",dust,exp,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,2,2082103,1,10
"fpop",fpop,exp,,500,10,12.4292161968444,1e-09,10,0.01,2,9283630,1,NA
"dust",dust,exp,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,2,639395,1,5
"fpop",fpop,exp,,500,20,12.4292161968444,1e-09,10,0.01,2,8974572,1,NA
"dust",dust,exp,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,2,604463,1,8
"fpop",fpop,exp,,500,30,12.4292161968444,1e-09,10,0.01,2,14820229,1,NA
"dust",dust,exp,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,2,686627,1,9
"fpop",fpop,exp,,500,40,12.4292161968444,1e-09,10,0.01,2,6059021,1,NA
"dust",dust,exp,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,2,691711,1,5
"fpop",fpop,exp,,500,50,12.4292161968444,1e-09,10,0.01,2,13227830,1,NA
"dust",dust,exp,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,3,1067927,1,3
"fpop",fpop,exp,,100,0,9.21034037197618,1e-09,10,0.01,3,3957812,1,NA
"dust",dust,exp,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,3,2346389,1,5
