"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"fpop",fpop,variance,,223.606797749979,20,10.8197782844103,1e-09,10,0.01,2,8871457,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,30,10.8197782844103,1e-09,10,0.01,2,536321,1,5
"fpop",fpop,variance,,223.606797749979,30,10.8197782844103,1e-09,10,0.01,2,21627910,1,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,40,10.8197782844103,1e-09,10,0.01,2,1281906,2,15
"fpop",fpop,variance,,223.606797749979,40,10.8197782844103,1e-09,10,0.01,2,15766181,2,NA
"dust",dust,variance,detIndex_Eval4,223.606797749979,50,10.8197782844103,1e-09,10,0.01,2,640461,1,10
"fpop",fpop,variance,,223.606797749979,50,10.8197782844103,1e-09,10,0.01,2,19071847,1,NA
"dust",dust,variance,detIndex_Eval4,500,0,12.4292161968444,1e-09,10,0.01,2,620043,1,6
"fpop",fpop,variance,,500,0,12.4292161968444,1e-09,10,0.01,2,9198596,1,NA
"dust",dust,variance,detIndex_Eval4,500,10,12.4292161968444,1e-09,10,0.01,2,7352653,1,5
"fpop",fpop,variance,,500,10,12.4292161968444,1e-09,10,0.01,2,4183312,1,NA
"dust",dust,variance,detIndex_Eval4,500,20,12.4292161968444,1e-09,10,0.01,2,852144,1,10
"fpop",fpop,variance,,500,20,12.4292161968444,1e-09,10,0.01,2,4418365,1,NA
"dust",dust,variance,detIndex_Eval4,500,30,12.4292161968444,1e-09,10,0.01,2,599543,2,11
"fpop",fpop,variance,,500,30,12.4292161968444,1e-09,10,0.01,2,9270428,2,NA
"dust",dust,variance,detIndex_Eval4,500,40,12.4292161968444,1e-09,10,0.01,2,1422741,1,7
"fpop",fpop,variance,,500,40,12.4292161968444,1e-09,10,0.01,2,4284049,1,NA
"dust",dust,variance,detIndex_Eval4,500,50,12.4292161968444,1e-09,10,0.01,2,1605355,1,13
"fpop",fpop,variance,,500,50,12.4292161968444,1e-09,10,0.01,2,11582746,1,NA
"dust",dust,variance,detIndex_Eval4,100,0,9.21034037197618,1e-09,10,0.01,3,5341931,1,5
"fpop",fpop,variance,,100,0,9.21034037197618,1e-09,10,0.01,3,13835901,1,NA
"dust",dust,variance,detIndex_Eval4,100,10,9.21034037197618,1e-09,10,0.01,3,516108,1,6
"fpop",fpop,variance,,100,10,9.21034037197618,1e-09,10,0.01,3,2759095,1,NA
"dust",dust,variance,detIndex_Eval4,100,20,9.21034037197618,1e-09,10,0.01,3,462685,1,6
"fpop",fpop,variance,,100,20,9.21034037197618,1e-09,10,0.01,3,10024828,1,NA
"dust",dust,variance,detIndex_Eval4,100,30,9.21034037197618,1e-09,10,0.01,3,1084204,1,9
"fpop",fpop,variance,,100,30,9.21034037197618,1e-09,10,0.01,3,15783442,1,NA
"dust",dust,variance,detIndex_Eval4,100,40,9.21034037197618,1e-09,10,0.01,3,558502,2,7
