"","algo","model","method","size","cpt.density","beta","alpha","nbLoops","m1","exec","exec.time","nb.cpts","nb"
"dust",dust,negbin,detIndex_Eval4,223.606797749979,20,1.08197782844103,1e-09,10,0.01,2,558748,13,4
"fpop",fpop,negbin,,223.606797749979,20,1.08197782844103,1e-09,10,0.01,2,3564581,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,30,1.08197782844103,1e-09,10,0.01,2,591507,8,4
"fpop",fpop,negbin,,223.606797749979,30,1.08197782844103,1e-09,10,0.01,2,10127902,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,40,1.08197782844103,1e-09,10,0.01,2,611802,9,6
"fpop",fpop,negbin,,223.606797749979,40,1.08197782844103,1e-09,10,0.01,2,9010775,5,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,50,1.08197782844103,1e-09,10,0.01,2,580191,5,5
"fpop",fpop,negbin,,223.606797749979,50,1.08197782844103,1e-09,10,0.01,2,3875484,3,NA
"dust",dust,negbin,detIndex_Eval4,500,0,1.24292161968444,1e-09,10,0.01,2,2138150,3,9
"fpop",fpop,negbin,,500,0,1.24292161968444,1e-09,10,0.01,2,31654378,1,NA
"dust",dust,negbin,detIndex_Eval4,500,10,1.24292161968444,1e-09,10,0.01,2,811841,10,7
"fpop",fpop,negbin,,500,10,1.24292161968444,1e-09,10,0.01,2,6089648,1,NA
"dust",dust,negbin,detIndex_Eval4,500,20,1.24292161968444,1e-09,10,0.01,2,1892314,26,4
"fpop",fpop,negbin,,500,20,1.24292161968444,1e-09,10,0.01,2,5601174,1,NA
"dust",dust,negbin,detIndex_Eval4,500,30,1.24292161968444,1e-09,10,0.01,2,718648,18,4
"fpop",fpop,negbin,,500,30,1.24292161968444,1e-09,10,0.01,2,7214114,2,NA
"dust",dust,negbin,detIndex_Eval4,500,40,1.24292161968444,1e-09,10,0.01,2,694130,15,6
"fpop",fpop,negbin,,500,40,1.24292161968444,1e-09,10,0.01,2,26136106,3,NA
"dust",dust,negbin,detIndex_Eval4,500,50,1.24292161968444,1e-09,10,0.01,2,2018840,11,5
"fpop",fpop,negbin,,500,50,1.24292161968444,1e-09,10,0.01,2,6319658,10,NA
"dust",dust,negbin,detIndex_Eval4,100,0,0.921034037197618,1e-09,10,0.01,3,1177643,4,9
"fpop",fpop,negbin,,100,0,0.921034037197618,1e-09,10,0.01,3,24991755,1,NA
"dust",dust,negbin,detIndex_Eval4,100,10,0.921034037197618,1e-09,10,0.01,3,553295,11,4
"fpop",fpop,negbin,,100,10,0.921034037197618,1e-09,10,0.01,3,2973894,1,NA
"dust",dust,negbin,detIndex_Eval4,100,20,0.921034037197618,1e-09,10,0.01,3,1310524,6,5
"fpop",fpop,negbin,,100,20,0.921034037197618,1e-09,10,0.01,3,3297712,3,NA
"dust",dust,negbin,detIndex_Eval4,100,30,0.921034037197618,1e-09,10,0.01,3,586177,4,8
"fpop",fpop,negbin,,100,30,0.921034037197618,1e-09,10,0.01,3,24356624,1,NA
"dust",dust,negbin,detIndex_Eval4,100,40,0.921034037197618,1e-09,10,0.01,3,451943,4,3
"fpop",fpop,negbin,,100,40,0.921034037197618,1e-09,10,0.01,3,2816987,2,NA
"dust",dust,negbin,detIndex_Eval4,100,50,0.921034037197618,1e-09,10,0.01,3,539765,3,10
"fpop",fpop,negbin,,100,50,0.921034037197618,1e-09,10,0.01,3,6743844,2,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,0,1.08197782844103,1e-09,10,0.01,3,578715,3,11
"fpop",fpop,negbin,,223.606797749979,0,1.08197782844103,1e-09,10,0.01,3,7647730,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,10,1.08197782844103,1e-09,10,0.01,3,4800895,18,6
"fpop",fpop,negbin,,223.606797749979,10,1.08197782844103,1e-09,10,0.01,3,18917646,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,20,1.08197782844103,1e-09,10,0.01,3,1306219,15,6
"fpop",fpop,negbin,,223.606797749979,20,1.08197782844103,1e-09,10,0.01,3,4877483,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,30,1.08197782844103,1e-09,10,0.01,3,11643918,13,4
"fpop",fpop,negbin,,223.606797749979,30,1.08197782844103,1e-09,10,0.01,3,3625015,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,40,1.08197782844103,1e-09,10,0.01,3,13100648,8,4
"fpop",fpop,negbin,,223.606797749979,40,1.08197782844103,1e-09,10,0.01,3,10695916,1,NA
"dust",dust,negbin,detIndex_Eval4,223.606797749979,50,1.08197782844103,1e-09,10,0.01,3,542758,7,5
"fpop",fpop,negbin,,223.606797749979,50,1.08197782844103,1e-09,10,0.01,3,10511293,5,NA
"dust",dust,negbin,detIndex_Eval4,500,0,1.24292161968444,1e-09,10,0.01,3,894046,1,8
"fpop",fpop,negbin,,500,0,1.24292161968444,1e-09,10,0.01,3,4966207,1,NA
"dust",dust,negbin,detIndex_Eval4,500,10,1.24292161968444,1e-09,10,0.01,3,1902482,22,6
"fpop",fpop,negbin,,500,10,1.24292161968444,1e-09,10,0.01,3,12607500,1,NA
"dust",dust,negbin,detIndex_Eval4,500,20,1.24292161968444,1e-09,10,0.01,3,2566231,26,3
"fpop",fpop,negbin,,500,20,1.24292161968444,1e-09,10,0.01,3,10271812,1,NA
"dust",dust,negbin,detIndex_Eval4,500,30,1.24292161968444,1e-09,10,0.01,3,679698,21,5
"fpop",fpop,negbin,,500,30,1.24292161968444,1e-09,10,0.01,3,11395499,1,NA
"dust",dust,negbin,detIndex_Eval4,500,40,1.24292161968444,1e-09,10,0.01,3,721559,13,5
"fpop",fpop,negbin,,500,40,1.24292161968444,1e-09,10,0.01,3,6640360,3,NA
